race_id,race_date,driver_id,constructor_id,circuit_id,finish_position,season,grid_position,qualifying_position,grid_penalty_positions,driver_prior_season_points,driver_prior_season_wins,constructor_prior_season_points,constructor_prior_season_dnf_rate,circuit_avg_lap_time_ms,circuit_races_held,is_rookie_or_new_team,driver_points_this_season_so_far,driver_avg_finish_last_3,top10_finish,podium_finish
2015_05,2015-05-10,bottas,williams,catalunya,4.0,2015,4,4.0,0.0,0.0,0.0,0.0,0.0,90968.81822107082,12,1,30.0,5.0,1,0
2015_06,2015-05-24,bottas,williams,monaco,14.0,2015,16,17.0,-1.0,0.0,0.0,0.0,0.0,87305.94368131868,11,1,42.0,4.666666666666667,0,0
2015_07,2015-06-07,bottas,williams,villeneuve,3.0,2015,4,4.0,0.0,0.0,0.0,0.0,0.0,84612.2985,10,1,42.0,7.333333333333333,1,1
2015_08,2015-06-21,bottas,williams,red_bull_ring,5.0,2015,6,6.0,0.0,0.0,0.0,0.0,0.0,76293.42976104272,14,1,57.0,7.0,1,0
2015_09,2015-07-05,bottas,williams,silverstone,5.0,2015,4,4.0,0.0,0.0,0.0,0.0,0.0,115608.07343412528,13,1,67.0,7.333333333333333,1,0
2015_10,2015-07-26,bottas,williams,hungaroring,13.0,2015,6,6.0,0.0,0.0,0.0,0.0,0.0,90162.13141486813,12,1,77.0,4.333333333333333,0,0
2015_11,2015-08-23,bottas,williams,spa,9.0,2015,3,3.0,0.0,0.0,0.0,0.0,0.0,133869.30844793713,12,1,77.0,7.666666666666667,1,0
2015_12,2015-09-06,bottas,williams,monza,4.0,2015,6,6.0,0.0,0.0,0.0,0.0,0.0,91340.01062887513,12,1,79.0,9.0,1,0
2015_13,2015-09-20,bottas,williams,marina_bay,5.0,2015,7,7.0,0.0,0.0,0.0,0.0,0.0,116198.53414948452,10,1,91.0,8.666666666666666,1,0
2015_14,2015-09-27,bottas,williams,suzuka,5.0,2015,3,3.0,0.0,0.0,0.0,0.0,0.0,110508.64505928854,10,1,101.0,6.0,1,0
2015_15,2015-10-11,bottas,williams,sochi,12.0,2015,3,3.0,0.0,0.0,0.0,0.0,0.0,127266.16137931036,7,1,111.0,4.666666666666667,0,0
2015_17,2015-11-01,bottas,williams,rodriguez,3.0,2015,6,6.0,0.0,0.0,0.0,0.0,0.0,90434.792,11,1,111.0,8.5,1,1
2015_18,2015-11-15,bottas,williams,interlagos,5.0,2015,7,4.0,3.0,0.0,0.0,0.0,0.0,89274.3474533535,11,1,126.0,7.5,1,0
2015_19,2015-11-29,bottas,williams,yas_marina,13.0,2015,6,6.0,0.0,0.0,0.0,0.0,0.0,101999.58471965496,12,1,136.0,4.0,0,0
2015_01,2015-03-15,button,mclaren,albert_park,11.0,2015,16,17.0,-1.0,0.0,0.0,0.0,0.0,102540.88727272728,10,1,0.0,9.5,0,0
2015_03,2015-04-12,button,mclaren,shanghai,14.0,2015,17,17.0,0.0,0.0,0.0,0.0,0.0,107764.43365134433,8,1,0.0,11.0,0,0
2015_05,2015-05-10,button,mclaren,catalunya,16.0,2015,14,14.0,0.0,0.0,0.0,0.0,0.0,90968.81822107082,12,1,0.0,14.0,0,0
2015_06,2015-05-24,button,mclaren,monaco,8.0,2015,10,12.0,-2.0,0.0,0.0,0.0,0.0,87305.94368131868,11,1,0.0,15.0,1,0
2015_10,2015-07-26,button,mclaren,hungaroring,9.0,2015,16,16.0,0.0,0.0,0.0,0.0,0.0,90162.13141486813,12,1,4.0,9.5,1,0
2015_11,2015-08-23,button,mclaren,spa,14.0,2015,19,17.0,2.0,0.0,0.0,0.0,0.0,133869.30844793713,12,1,6.0,9.0,0,0
2015_12,2015-09-06,button,mclaren,monza,14.0,2015,15,16.0,-1.0,0.0,0.0,0.0,0.0,91340.01062887513,12,1,6.0,11.5,0,0
2015_14,2015-09-27,button,mclaren,suzuka,16.0,2015,14,16.0,-2.0,0.0,0.0,0.0,0.0,110508.64505928854,10,1,6.0,14.0,0,0
2015_15,2015-10-11,button,mclaren,sochi,9.0,2015,13,13.0,0.0,0.0,0.0,0.0,0.0,127266.16137931036,7,1,6.0,15.0,1,0
2015_16,2015-10-25,button,mclaren,americas,6.0,2015,11,14.0,-3.0,0.0,0.0,0.0,0.0,108077.81705426356,11,1,8.0,12.5,1,0
2015_17,2015-11-01,button,mclaren,rodriguez,14.0,2015,20,20.0,0.0,0.0,0.0,0.0,0.0,90434.792,11,1,16.0,10.333333333333334,0,0
2015_18,2015-11-15,button,mclaren,interlagos,14.0,2015,16,17.0,-1.0,0.0,0.0,0.0,0.0,89274.3474533535,11,1,16.0,9.666666666666666,0,0
2015_19,2015-11-29,button,mclaren,yas_marina,12.0,2015,12,12.0,0.0,0.0,0.0,0.0,0.0,101999.58471965496,12,1,16.0,11.333333333333334,0,0
2015_01,2015-03-15,ericsson,sauber,albert_park,8.0,2015,15,16.0,-1.0,0.0,0.0,0.0,0.0,102540.88727272728,10,1,0.0,9.5,1,0
2015_03,2015-04-12,ericsson,sauber,shanghai,10.0,2015,10,10.0,0.0,0.0,0.0,0.0,0.0,107764.43365134433,8,1,4.0,8.0,1,0
2015_04,2015-04-19,ericsson,sauber,bahrain,14.0,2015,13,13.0,0.0,0.0,0.0,0.0,0.0,104555.70903790087,12,1,5.0,9.0,0,0
2015_05,2015-05-10,ericsson,sauber,catalunya,14.0,2015,16,16.0,0.0,0.0,0.0,0.0,0.0,90968.81822107082,12,1,5.0,12.0,0,0
2015_06,2015-05-24,ericsson,sauber,monaco,13.0,2015,17,18.0,-1.0,0.0,0.0,0.0,0.0,87305.94368131868,11,1,5.0,12.666666666666666,0,0
2015_07,2015-06-07,ericsson,sauber,villeneuve,14.0,2015,12,13.0,-1.0,0.0,0.0,0.0,0.0,84612.2985,10,1,5.0,13.666666666666666,0,0
2015_08,2015-06-21,ericsson,sauber,red_bull_ring,13.0,2015,11,12.0,-1.0,0.0,0.0,0.0,0.0,76293.42976104272,14,1,5.0,13.666666666666666,0,0
2015_09,2015-07-05,ericsson,sauber,silverstone,11.0,2015,15,15.0,0.0,0.0,0.0,0.0,0.0,115608.07343412528,13,1,5.0,13.333333333333334,0,0
2015_10,2015-07-26,ericsson,sauber,hungaroring,10.0,2015,17,17.0,0.0,0.0,0.0,0.0,0.0,90162.13141486813,12,1,5.0,12.666666666666666,1,0
2015_11,2015-08-23,ericsson,sauber,spa,10.0,2015,13,13.0,0.0,0.0,0.0,0.0,0.0,133869.30844793713,12,1,6.0,11.333333333333334,1,0
2015_12,2015-09-06,ericsson,sauber,monza,9.0,2015,12,10.0,2.0,0.0,0.0,0.0,0.0,91340.01062887513,12,1,7.0,10.333333333333334,1,0
2015_13,2015-09-20,ericsson,sauber,marina_bay,11.0,2015,17,17.0,0.0,0.0,0.0,0.0,0.0,116198.53414948452,10,1,9.0,9.666666666666666,0,0
2015_14,2015-09-27,ericsson,sauber,suzuka,14.0,2015,15,17.0,-2.0,0.0,0.0,0.0,0.0,110508.64505928854,10,1,9.0,10.0,0,0
2015_17,2015-11-01,ericsson,sauber,rodriguez,12.0,2015,14,14.0,0.0,0.0,0.0,0.0,0.0,90434.792,11,1,9.0,14.0,0,0
2015_18,2015-11-15,ericsson,sauber,interlagos,16.0,2015,12,14.0,-2.0,0.0,0.0,0.0,0.0,89274.3474533535,11,1,9.0,12.0,0,0
2015_19,2015-11-29,ericsson,sauber,yas_marina,14.0,2015,17,18.0,-1.0,0.0,0.0,0.0,0.0,101999.58471965496,12,1,9.0,14.0,0,0
2015_02,2015-03-29,grosjean,lotus_f1,sepang,11.0,2015,10,8.0,2.0,0.0,0.0,0.0,0.0,112226.03571428572,3,1,0.0,9.5,0,0
2015_03,2015-04-12,grosjean,lotus_f1,shanghai,7.0,2015,8,8.0,0.0,0.0,0.0,0.0,0.0,107764.43365134433,8,1,0.0,11.0,1,0
2015_04,2015-04-19,grosjean,lotus_f1,bahrain,7.0,2015,10,10.0,0.0,0.0,0.0,0.0,0.0,104555.70903790087,12,1,6.0,9.0,1,0
2015_05,2015-05-10,grosjean,lotus_f1,catalunya,8.0,2015,11,11.0,0.0,0.0,0.0,0.0,0.0,90968.81822107082,12,1,12.0,8.333333333333334,1,0
2015_06,2015-05-24,grosjean,lotus_f1,monaco,12.0,2015,15,11.0,4.0,0.0,0.0,0.0,0.0,87305.94368131868,11,1,16.0,7.333333333333333,0,0
2015_07,2015-06-07,grosjean,lotus_f1,villeneuve,10.0,2015,5,5.0,0.0,0.0,0.0,0.0,0.0,84612.2985,10,1,16.0,9.0,1,0
2015_10,2015-07-26,grosjean,lotus_f1,hungaroring,7.0,2015,10,10.0,0.0,0.0,0.0,0.0,0.0,90162.13141486813,12,1,17.0,10.0,1,0
2015_11,2015-08-23,grosjean,lotus_f1,spa,3.0,2015,9,4.0,5.0,0.0,0.0,0.0,0.0,133869.30844793713,12,1,23.0,7.0,1,1
2015_13,2015-09-20,grosjean,lotus_f1,marina_bay,13.0,2015,10,10.0,0.0,0.0,0.0,0.0,0.0,116198.53414948452,10,1,38.0,5.0,0,0
2015_14,2015-09-27,grosjean,lotus_f1,suzuka,7.0,2015,8,8.0,0.0,0.0,0.0,0.0,0.0,110508.64505928854,10,1,38.0,8.0,1,0
2015_17,2015-11-01,grosjean,lotus_f1,rodriguez,10.0,2015,12,12.0,0.0,0.0,0.0,0.0,0.0,90434.792,11,1,44.0,7.0,1,0
2015_18,2015-11-15,grosjean,lotus_f1,interlagos,8.0,2015,14,15.0,-1.0,0.0,0.0,0.0,0.0,89274.3474533535,11,1,45.0,10.0,1,0
2015_19,2015-11-29,grosjean,lotus_f1,yas_marina,9.0,2015,18,15.0,3.0,0.0,0.0,0.0,0.0,101999.58471965496,12,1,49.0,9.0,1,0
2015_01,2015-03-15,hamilton,mercedes,albert_park,1.0,2015,1,1.0,0.0,0.0,0.0,0.0,0.0,102540.88727272728,10,1,0.0,9.5,1,1
2015_02,2015-03-29,hamilton,mercedes,sepang,2.0,2015,1,1.0,0.0,0.0,0.0,0.0,0.0,112226.03571428572,3,1,25.0,1.0,1,1
2015_03,2015-04-12,hamilton,mercedes,shanghai,1.0,2015,1,1.0,0.0,0.0,0.0,0.0,0.0,107764.43365134433,8,1,43.0,1.5,1,1
2015_04,2015-04-19,hamilton,mercedes,bahrain,1.0,2015,1,1.0,0.0,0.0,0.0,0.0,0.0,104555.70903790087,12,1,68.0,1.3333333333333333,1,1
2015_05,2015-05-10,hamilton,mercedes,catalunya,2.0,2015,2,2.0,0.0,0.0,0.0,0.0,0.0,90968.81822107082,12,1,93.0,1.3333333333333333,1,1
2015_06,2015-05-24,hamilton,mercedes,monaco,3.0,2015,1,1.0,0.0,0.0,0.0,0.0,0.0,87305.94368131868,11,1,111.0,1.3333333333333333,1,1
2015_07,2015-06-07,hamilton,mercedes,villeneuve,1.0,2015,1,1.0,0.0,0.0,0.0,0.0,0.0,84612.2985,10,1,126.0,2.0,1,1
2015_08,2015-06-21,hamilton,mercedes,red_bull_ring,2.0,2015,1,1.0,0.0,0.0,0.0,0.0,0.0,76293.42976104272,14,1,151.0,2.0,1,1
2015_09,2015-07-05,hamilton,mercedes,silverstone,1.0,2015,1,1.0,0.0,0.0,0.0,0.0,0.0,115608.07343412528,13,1,169.0,2.0,1,1
2015_10,2015-07-26,hamilton,mercedes,hungaroring,6.0,2015,1,1.0,0.0,0.0,0.0,0.0,0.0,90162.13141486813,12,1,194.0,1.3333333333333333,1,0
2015_11,2015-08-23,hamilton,mercedes,spa,1.0,2015,1,1.0,0.0,0.0,0.0,0.0,0.0,133869.30844793713,12,1,202.0,3.0,1,1
2015_12,2015-09-06,hamilton,mercedes,monza,1.0,2015,1,1.0,0.0,0.0,0.0,0.0,0.0,91340.01062887513,12,1,227.0,2.6666666666666665,1,1
2015_14,2015-09-27,hamilton,mercedes,suzuka,1.0,2015,2,2.0,0.0,0.0,0.0,0.0,0.0,110508.64505928854,10,1,252.0,1.0,1,1
2015_15,2015-10-11,hamilton,mercedes,sochi,1.0,2015,2,2.0,0.0,0.0,0.0,0.0,0.0,127266.16137931036,7,1,277.0,1.0,1,1
2015_16,2015-10-25,hamilton,mercedes,americas,1.0,2015,2,2.0,0.0,0.0,0.0,0.0,0.0,108077.81705426356,11,1,302.0,1.0,1,1
2015_17,2015-11-01,hamilton,mercedes,rodriguez,2.0,2015,2,2.0,0.0,0.0,0.0,0.0,0.0,90434.792,11,1,327.0,1.0,1,1
2015_18,2015-11-15,hamilton,mercedes,interlagos,2.0,2015,2,2.0,0.0,0.0,0.0,0.0,0.0,89274.3474533535,11,1,345.0,1.3333333333333333,1,1
2015_19,2015-11-29,hamilton,mercedes,yas_marina,2.0,2015,2,2.0,0.0,0.0,0.0,0.0,0.0,101999.58471965496,12,1,363.0,1.6666666666666667,1,1
2015_01,2015-03-15,hulkenberg,force_india,albert_park,7.0,2015,13,14.0,-1.0,0.0,0.0,0.0,0.0,102540.88727272728,10,1,0.0,9.5,1,0
2015_02,2015-03-29,hulkenberg,force_india,sepang,14.0,2015,13,13.0,0.0,0.0,0.0,0.0,0.0,112226.03571428572,3,1,6.0,7.0,0,0
2015_04,2015-04-19,hulkenberg,force_india,bahrain,13.0,2015,8,8.0,0.0,0.0,0.0,0.0,0.0,104555.70903790087,12,1,6.0,10.5,0,0
2015_05,2015-05-10,hulkenberg,force_india,catalunya,15.0,2015,17,17.0,0.0,0.0,0.0,0.0,0.0,90968.81822107082,12,1,6.0,13.5,0,0
2015_06,2015-05-24,hulkenberg,force_india,monaco,11.0,2015,11,13.0,-2.0,0.0,0.0,0.0,0.0,87305.94368131868,11,1,6.0,14.0,0,0
2015_07,2015-06-07,hulkenberg,force_india,villeneuve,8.0,2015,7,7.0,0.0,0.0,0.0,0.0,0.0,84612.2985,10,1,6.0,13.0,1,0
2015_08,2015-06-21,hulkenberg,force_india,red_bull_ring,6.0,2015,5,5.0,0.0,0.0,0.0,0.0,0.0,76293.42976104272,14,1,10.0,11.333333333333334,1,0
2015_09,2015-07-05,hulkenberg,force_india,silverstone,7.0,2015,9,9.0,0.0,0.0,0.0,0.0,0.0,115608.07343412528,13,1,18.0,8.333333333333334,1,0
2015_12,2015-09-06,hulkenberg,force_india,monza,7.0,2015,9,9.0,0.0,0.0,0.0,0.0,0.0,91340.01062887513,12,1,24.0,7.0,1,0
2015_14,2015-09-27,hulkenberg,force_india,suzuka,6.0,2015,13,11.0,2.0,0.0,0.0,0.0,0.0,110508.64505928854,10,1,30.0,7.0,1,0
2015_17,2015-11-01,hulkenberg,force_india,rodriguez,7.0,2015,10,10.0,0.0,0.0,0.0,0.0,0.0,90434.792,11,1,38.0,6.0,1,0
2015_18,2015-11-15,hulkenberg,force_india,interlagos,6.0,2015,5,6.0,-1.0,0.0,0.0,0.0,0.0,89274.3474533535,11,1,44.0,7.0,1,0
2015_19,2015-11-29,hulkenberg,force_india,yas_marina,7.0,2015,7,7.0,0.0,0.0,0.0,0.0,0.0,101999.58471965496,12,1,52.0,6.5,1,0
2015_02,2015-03-29,kvyat,red_bull,sepang,9.0,2015,5,5.0,0.0,0.0,0.0,0.0,0.0,112226.03571428572,3,1,0.0,9.5,1,0
2015_04,2015-04-19,kvyat,red_bull,bahrain,9.0,2015,17,17.0,0.0,0.0,0.0,0.0,0.0,104555.70903790087,12,1,2.0,9.0,1,0
2015_05,2015-05-10,kvyat,red_bull,catalunya,10.0,2015,8,8.0,0.0,0.0,0.0,0.0,0.0,90968.81822107082,12,1,4.0,9.0,1,0
2015_06,2015-05-24,kvyat,red_bull,monaco,4.0,2015,5,5.0,0.0,0.0,0.0,0.0,0.0,87305.94368131868,11,1,5.0,9.5,1,0
2015_07,2015-06-07,kvyat,red_bull,villeneuve,9.0,2015,8,8.0,0.0,0.0,0.0,0.0,0.0,84612.2985,10,1,17.0,7.666666666666667,1,0
2015_08,2015-06-21,kvyat,red_bull,red_bull_ring,12.0,2015,15,8.0,7.0,0.0,0.0,0.0,0.0,76293.42976104272,14,1,19.0,7.666666666666667,0,0
2015_09,2015-07-05,kvyat,red_bull,silverstone,6.0,2015,7,7.0,0.0,0.0,0.0,0.0,0.0,115608.07343412528,13,1,19.0,8.333333333333334,1,0
2015_10,2015-07-26,kvyat,red_bull,hungaroring,2.0,2015,7,7.0,0.0,0.0,0.0,0.0,0.0,90162.13141486813,12,1,27.0,9.0,1,1
2015_11,2015-08-23,kvyat,red_bull,spa,4.0,2015,12,12.0,0.0,0.0,0.0,0.0,0.0,133869.30844793713,12,1,45.0,6.666666666666667,1,0
2015_12,2015-09-06,kvyat,red_bull,monza,10.0,2015,18,14.0,4.0,0.0,0.0,0.0,0.0,91340.01062887513,12,1,57.0,4.0,1,0
2015_13,2015-09-20,kvyat,red_bull,marina_bay,6.0,2015,4,4.0,0.0,0.0,0.0,0.0,0.0,116198.53414948452,10,1,58.0,5.333333333333333,1,0
2015_14,2015-09-27,kvyat,red_bull,suzuka,13.0,2015,20,10.0,10.0,0.0,0.0,0.0,0.0,110508.64505928854,10,1,66.0,6.666666666666667,0,0
2015_15,2015-10-11,kvyat,red_bull,sochi,5.0,2015,11,11.0,0.0,0.0,0.0,0.0,0.0,127266.16137931036,7,1,66.0,9.666666666666666,1,0
2015_17,2015-11-01,kvyat,red_bull,rodriguez,4.0,2015,4,4.0,0.0,0.0,0.0,0.0,0.0,90434.792,11,1,76.0,9.0,1,0
2015_18,2015-11-15,kvyat,red_bull,interlagos,7.0,2015,6,7.0,-1.0,0.0,0.0,0.0,0.0,89274.3474533535,11,1,88.0,4.5,1,0
2015_19,2015-11-29,kvyat,red_bull,yas_marina,10.0,2015,9,9.0,0.0,0.0,0.0,0.0,0.0,101999.58471965496,12,1,94.0,5.5,1,0
2015_04,2015-04-19,maldonado,lotus_f1,bahrain,15.0,2015,16,16.0,0.0,0.0,0.0,0.0,0.0,104555.70903790087,12,1,0.0,9.5,0,0
2015_07,2015-06-07,maldonado,lotus_f1,villeneuve,7.0,2015,6,6.0,0.0,0.0,0.0,0.0,0.0,84612.2985,10,1,0.0,15.0,1,0
2015_08,2015-06-21,maldonado,lotus_f1,red_bull_ring,7.0,2015,10,11.0,-1.0,0.0,0.0,0.0,0.0,76293.42976104272,14,1,6.0,7.0,1,0
2015_10,2015-07-26,maldonado,lotus_f1,hungaroring,14.0,2015,14,14.0,0.0,0.0,0.0,0.0,0.0,90162.13141486813,12,1,12.0,7.0,0,0
2015_13,2015-09-20,maldonado,lotus_f1,marina_bay,12.0,2015,18,18.0,0.0,0.0,0.0,0.0,0.0,116198.53414948452,10,1,12.0,14.0,0,0
2015_14,2015-09-27,maldonado,lotus_f1,suzuka,8.0,2015,11,13.0,-2.0,0.0,0.0,0.0,0.0,110508.64505928854,10,1,12.0,12.0,1,0
2015_15,2015-10-11,maldonado,lotus_f1,sochi,7.0,2015,14,14.0,0.0,0.0,0.0,0.0,0.0,127266.16137931036,7,1,16.0,10.0,1,0
2015_16,2015-10-25,maldonado,lotus_f1,americas,8.0,2015,12,15.0,-3.0,0.0,0.0,0.0,0.0,108077.81705426356,11,1,22.0,9.0,1,0
2015_17,2015-11-01,maldonado,lotus_f1,rodriguez,11.0,2015,13,13.0,0.0,0.0,0.0,0.0,0.0,90434.792,11,1,26.0,7.666666666666667,0,0
2015_18,2015-11-15,maldonado,lotus_f1,interlagos,10.0,2015,15,16.0,-1.0,0.0,0.0,0.0,0.0,89274.3474533535,11,1,26.0,8.666666666666666,1,0
2015_01,2015-03-15,massa,williams,albert_park,4.0,2015,3,3.0,0.0,0.0,0.0,0.0,0.0,102540.88727272728,10,1,0.0,9.5,1,0
2015_02,2015-03-29,massa,williams,sepang,6.0,2015,7,7.0,0.0,0.0,0.0,0.0,0.0,112226.03571428572,3,1,12.0,4.0,1,0
2015_03,2015-04-12,massa,williams,shanghai,5.0,2015,4,4.0,0.0,0.0,0.0,0.0,0.0,107764.43365134433,8,1,20.0,5.0,1,0
2015_04,2015-04-19,massa,williams,bahrain,10.0,2015,6,6.0,0.0,0.0,0.0,0.0,0.0,104555.70903790087,12,1,30.0,5.0,1,0
2015_05,2015-05-10,massa,williams,catalunya,6.0,2015,9,9.0,0.0,0.0,0.0,0.0,0.0,90968.81822107082,12,1,31.0,7.0,1,0
2015_06,2015-05-24,massa,williams,monaco,15.0,2015,12,14.0,-2.0,0.0,0.0,0.0,0.0,87305.94368131868,11,1,39.0,7.0,0,0
2015_07,2015-06-07,massa,williams,villeneuve,6.0,2015,15,17.0,-2.0,0.0,0.0,0.0,0.0,84612.2985,10,1,39.0,10.333333333333334,1,0
2015_08,2015-06-21,massa,williams,red_bull_ring,3.0,2015,4,4.0,0.0,0.0,0.0,0.0,0.0,76293.42976104272,14,1,47.0,9.0,1,1
2015_09,2015-07-05,massa,williams,silverstone,4.0,2015,3,3.0,0.0,0.0,0.0,0.0,0.0,115608.07343412528,13,1,62.0,8.0,1,0
2015_10,2015-07-26,massa,williams,hungaroring,12.0,2015,8,8.0,0.0,0.0,0.0,0.0,0.0,90162.13141486813,12,1,74.0,4.333333333333333,0,0
2015_11,2015-08-23,massa,williams,spa,6.0,2015,6,7.0,-1.0,0.0,0.0,0.0,0.0,133869.30844793713,12,1,74.0,6.333333333333333,1,0
2015_12,2015-09-06,massa,williams,monza,3.0,2015,5,5.0,0.0,0.0,0.0,0.0,0.0,91340.01062887513,12,1,82.0,7.333333333333333,1,1
2015_14,2015-09-27,massa,williams,suzuka,17.0,2015,5,5.0,0.0,0.0,0.0,0.0,0.0,110508.64505928854,10,1,97.0,4.5,0,0
2015_15,2015-10-11,massa,williams,sochi,4.0,2015,15,15.0,0.0,0.0,0.0,0.0,0.0,127266.16137931036,7,1,97.0,10.0,1,0
2015_17,2015-11-01,massa,williams,rodriguez,6.0,2015,7,7.0,0.0,0.0,0.0,0.0,0.0,90434.792,11,1,109.0,10.5,1,0
2015_19,2015-11-29,massa,williams,yas_marina,8.0,2015,8,8.0,0.0,0.0,0.0,0.0,0.0,101999.58471965496,12,1,117.0,6.0,1,0
2015_02,2015-03-29,max_verstappen,toro_rosso,sepang,7.0,2015,6,6.0,0.0,0.0,0.0,0.0,0.0,112226.03571428572,3,1,0.0,9.5,1,0
2015_03,2015-04-12,max_verstappen,toro_rosso,shanghai,17.0,2015,13,13.0,0.0,0.0,0.0,0.0,0.0,107764.43365134433,8,1,6.0,7.0,0,0
2015_05,2015-05-10,max_verstappen,toro_rosso,catalunya,11.0,2015,6,6.0,0.0,0.0,0.0,0.0,0.0,90968.81822107082,12,1,6.0,12.0,0,0
2015_07,2015-06-07,max_verstappen,toro_rosso,villeneuve,15.0,2015,19,12.0,7.0,0.0,0.0,0.0,0.0,84612.2985,10,1,6.0,11.0,0,0
2015_08,2015-06-21,max_verstappen,toro_rosso,red_bull_ring,8.0,2015,7,7.0,0.0,0.0,0.0,0.0,0.0,76293.42976104272,14,1,6.0,13.0,1,0
2015_10,2015-07-26,max_verstappen,toro_rosso,hungaroring,4.0,2015,9,9.0,0.0,0.0,0.0,0.0,0.0,90162.13141486813,12,1,10.0,11.5,1,0
2015_11,2015-08-23,max_verstappen,toro_rosso,spa,8.0,2015,18,15.0,3.0,0.0,0.0,0.0,0.0,133869.30844793713,12,1,22.0,6.0,1,0
2015_12,2015-09-06,max_verstappen,toro_rosso,monza,12.0,2015,20,20.0,0.0,0.0,0.0,0.0,0.0,91340.01062887513,12,1,26.0,6.0,0,0
2015_13,2015-09-20,max_verstappen,toro_rosso,marina_bay,8.0,2015,8,8.0,0.0,0.0,0.0,0.0,0.0,116198.53414948452,10,1,26.0,8.0,1,0
2015_14,2015-09-27,max_verstappen,toro_rosso,suzuka,9.0,2015,17,15.0,2.0,0.0,0.0,0.0,0.0,110508.64505928854,10,1,30.0,9.333333333333334,1,0
2015_15,2015-10-11,max_verstappen,toro_rosso,sochi,10.0,2015,9,9.0,0.0,0.0,0.0,0.0,0.0,127266.16137931036,7,1,32.0,9.666666666666666,1,0
2015_16,2015-10-25,max_verstappen,toro_rosso,americas,4.0,2015,8,10.0,-2.0,0.0,0.0,0.0,0.0,108077.81705426356,11,1,33.0,9.0,1,0
2015_17,2015-11-01,max_verstappen,toro_rosso,rodriguez,9.0,2015,8,8.0,0.0,0.0,0.0,0.0,0.0,90434.792,11,1,45.0,7.666666666666667,1,0
2015_18,2015-11-15,max_verstappen,toro_rosso,interlagos,9.0,2015,9,10.0,-1.0,0.0,0.0,0.0,0.0,89274.3474533535,11,1,47.0,7.666666666666667,1,0
2015_19,2015-11-29,max_verstappen,toro_rosso,yas_marina,16.0,2015,11,11.0,0.0,0.0,0.0,0.0,0.0,101999.58471965496,12,1,49.0,7.333333333333333,0,0
2015_02,2015-03-29,merhi,manor,sepang,15.0,2015,19,19.0,0.0,0.0,0.0,0.0,0.0,112226.03571428572,3,1,0.0,9.5,0,0
2015_03,2015-04-12,merhi,manor,shanghai,16.0,2015,20,20.0,0.0,0.0,0.0,0.0,0.0,107764.43365134433,8,1,0.0,15.0,0,0
2015_04,2015-04-19,merhi,manor,bahrain,17.0,2015,19,19.0,0.0,0.0,0.0,0.0,0.0,104555.70903790087,12,1,0.0,15.5,0,0
