driver_id,code,permanent_number,given_name,family_name,full_name,date_of_birth,nationality
merhi,MER,98.0,Roberto,Merhi,Roberto Merhi,1991-03-22,Spanish
nasr,NAS,12.0,Felipe,Nasr,Felipe Nasr,1992-08-21,Brazilian
norris,NOR,1.0,Lando,Norris,Lando Norris,1999-11-13,British
patricio_o_ward,,,Patricio,O'Ward,Patricio O'Ward,,
ocon,OCO,31.0,Esteban,Ocon,Esteban Ocon,1996-09-17,French
jolyon_palmer,PAL,30.0,Jolyon,Palmer,Jolyon Palmer,1991-01-20,British
piastri,PIA,81.0,Oscar,Piastri,Oscar Piastri,2001-04-06,Australian
perez,PER,11.0,Sergio,Pérez,Sergio Pérez,1990-01-26,Mexican
ricciardo,RIC,3.0,Daniel,Ricciardo,Daniel Ricciardo,1989-07-01,Australian
rosberg,ROS,6.0,Nico,Rosberg,Nico Rosberg,1985-06-27,German
rossi,RSS,53.0,Alexander,Rossi,Alexander Rossi,1991-09-25,American
russell,RUS,63.0,George,Russell,George Russell,1998-02-15,British
raikkonen,RAI,7.0,Kimi,Räikkönen,Kimi Räikkönen,1979-10-17,Finnish
sainz,SAI,55.0,Carlos,Sainz,Carlos Sainz,1994-09-01,Spanish
sargeant,SAR,2.0,Logan,Sargeant,Logan Sargeant,2000-12-31,American
mick_schumacher,MSC,47.0,Mick,Schumacher,Mick Schumacher,1999-03-22,German
cian_shields,,,Cian,Shields,Cian Shields,,
sirotkin,SIR,35.0,Sergey,Sirotkin,Sergey Sirotkin,1995-08-27,Russian
stevens,STE,28.0,Will,Stevens,Will Stevens,1991-06-28,British
stroll,STR,18.0,Lance,Stroll,Lance Stroll,1998-10-29,Canadian
tsunoda,TSU,22.0,Yuki,Tsunoda,Yuki Tsunoda,2000-05-11,Japanese
vandoorne,VAN,2.0,Stoffel,Vandoorne,Stoffel Vandoorne,1992-03-26,Belgian
max_verstappen,VER,3.0,Max,Verstappen,Max Verstappen,1997-09-30,Dutch
frederik_vesti,,,Frederik,Vesti,Frederik Vesti,,
vettel,VET,5.0,Sebastian,Vettel,Sebastian Vettel,1987-07-03,German
wehrlein,WEH,94.0,Pascal,Wehrlein,Pascal Wehrlein,1994-10-18,German
zhou,ZHO,24.0,Guanyu,Zhou,Guanyu Zhou,1999-05-30,Chinese
de_vries,DEV,21.0,Nyck,de Vries,Nyck de Vries,1995-02-06,Dutch
resta,DIR,40.0,Paul,di Resta,Paul di Resta,1986-04-16,British
